Time,Event
01:35.508,"General Vezax Mark of the Faceless Padparadcha 4850 (U: 5000, M: 150, 3.00%)"
01:35.508,"General Vezax Mark of the Faceless Droob (A: 4850) (U: 5000, M: 150, 3.00%)"
01:35.508,"General Vezax Mark of the Faceless Apraxial 1921 (A: 2735) (U: 5000, M: 344, 6.88%)"
01:35.508,"General Vezax Mark of the Faceless Dellbelphine (A: 4850) (U: 5000, M: 150, 3.00%)"
01:36.782,"General Vezax Mark of the Faceless Apraxial 4656 (U: 5000, M: 344, 6.88%)"
01:36.782,"General Vezax Mark of the Faceless Shambby 1932 (A: 2918) (U: 5000, M: 150, 3.00%)"
01:36.782,"General Vezax Mark of the Faceless Padparadcha 4850 (U: 5000, M: 150, 3.00%)"
01:36.782,"General Vezax Mark of the Faceless Dellbelphine 1931 (A: 2919) (U: 5000, M: 150, 3.00%)"
01:36.782,"General Vezax Mark of the Faceless Droob 1871 (A: 2979) (U: 5000, M: 150, 3.00%)"
01:37.955,"General Vezax Mark of the Faceless Apraxial 4656 (U: 5000, M: 344, 6.88%)"
01:37.955,"General Vezax Mark of the Faceless Shambby 4850 (U: 5000, M: 150, 3.00%)"
01:39.227,"General Vezax Mark of the Faceless Shambby 4850 (U: 5000, M: 150, 3.00%)"
01:42.889,General Vezax's Mark of the Faceless  fades from Ratherbebelf
01:53.910,Ratherbebelf is afflicted by  Mark of the Faceless  from General Vezax
01:56.648,"General Vezax Mark of the Faceless Padparadcha 4850 (U: 5000, M: 150, 3.00%)"
01:56.648,"General Vezax Mark of the Faceless Apraxial 4656 (U: 5000, M: 344, 6.88%)"
01:56.648,"General Vezax Mark of the Faceless Shambby 4850 (U: 5000, M: 150, 3.00%)"
01:56.648,"General Vezax Mark of the Faceless Droob 4850 (U: 5000, M: 150, 3.00%)"
01:56.648,"General Vezax Mark of the Faceless  Dellbelphine 4850 (U: 5000, M: 150, 3.00%)"
01:57.887,"General Vezax Mark of the Faceless Apraxial 4656 (U: 5000, M: 344, 6.88%)"
01:57.887,"General Vezax Mark of the Faceless Shambby 4850 (U: 5000, M: 150, 3.00%)"
02:03.913,General Vezax's Mark of the Faceless  fades from Ratherbebelf
02:14.973,Droob is afflicted by  Mark of the Faceless  from General Vezax
02:17.701,"General Vezax Mark of the Faceless Apraxial (A: 4656) (U: 5000, M: 344, 6.88%)"
02:17.701,"General Vezax Mark of the Faceless  Dellbelphine 4850 (U: 5000, M: 150, 3.00%)"
02:17.701,"General Vezax Mark of the Faceless Shambby (A: 4850) (U: 5000, M: 150, 3.00%)"
02:17.701,"General Vezax Mark of the Faceless Ratherbebelf 4850 (U: 5000, M: 150, 3.00%)"
02:17.701,"General Vezax Mark of the Faceless Padparadcha 4850 (U: 5000, M: 150, 3.00%)"
02:18.875,"General Vezax Mark of the Faceless Ratherbebelf (A: 4850) (U: 5000, M: 150, 3.00%)"
02:18.875,"General Vezax Mark of the Faceless  Dellbelphine 4850 (U: 5000, M: 150, 3.00%)"
02:18.875,"General Vezax Mark of the Faceless Padparadcha 4850 (U: 5000, M: 150, 3.00%)"
02:18.875,"General Vezax Mark of the Faceless Apraxial 2036 (A: 2620) (U: 5000, M: 344, 6.88%)"
02:24.995,General Vezax's Mark of the Faceless  fades from Droob
02:35.919,Bezarag is afflicted by  Mark of the Faceless  from General Vezax
02:45.914,General Vezax's Mark of the Faceless  fades from Bezarag
02:56.935,Pestie is afflicted by  Mark of the Faceless  from General Vezax
02:59.402,"General Vezax Mark of the Faceless Magìcpìpe 4850 (U: 5000, M: 150, 3.00%)"
02:59.402,"General Vezax Mark of the Faceless Shindolshot 4656 (U: 5000, M: 344, 6.88%)"
02:59.402,"General Vezax Mark of the Faceless Onkos (A: 4850) (U: 5000, M: 150, 3.00%)"
02:59.402,"General Vezax Mark of the Faceless Boscaiolo (A: 4850) (U: 5000, M: 150, 3.00%)"
02:59.402,"General Vezax Mark of the Faceless Bezarag 4608 (U: 5000, M: 392, 7.84%)"
02:59.402,"General Vezax Mark of the Faceless  Wunderlol 4122 (U: 5000, M: 878, 17.56%)"
03:06.941,General Vezax's Mark of the Faceless  fades from Pestie
03:18.057,Onkos is afflicted by  Mark of the Faceless  from General Vezax
03:20.823,"General Vezax Mark of the Faceless Boscaiolo (A: 4850) (U: 5000, M: 150, 3.00%)"
03:20.823,"General Vezax Mark of the Faceless Bezarag (A: 4607) (U: 5000, M: 393, 7.86%)"
03:20.823,"General Vezax Mark of the Faceless Wunderlol 4122 (U: 5000, M: 878, 17.56%)"
03:20.823,"General Vezax Mark of the Faceless Shindolshot (A: 4656) (U: 5000, M: 344, 6.88%)"
03:20.823,"General Vezax Mark of the Faceless Magìcpìpe 4850 (U: 5000, M: 150, 3.00%)"
03:20.823,"General Vezax Mark of the Faceless Pestie 4850 (U: 5000, M: 150, 3.00%)"
03:21.841,"General Vezax Mark of the Faceless Bezarag 1787 (A: 2821) (U: 5000, M: 392, 7.84%)"
03:28.079,General Vezax's Mark of the Faceless  fades from Onkos
03:39.043,Shindolshot is afflicted by  Mark of the Faceless  from General Vezax
03:41.768,"General Vezax Mark of the Faceless Magìcpìpe 4850 (U: 5000, M: 150, 3.00%)"
03:41.768,"General Vezax Mark of the Faceless Onkos 4850 (U: 5000, M: 150, 3.00%)"
03:41.768,"General Vezax Mark of the Faceless  Boscaiolo 4850 (U: 5000, M: 150, 3.00%)"
03:41.768,"General Vezax Mark of the Faceless Bezarag 4608 (U: 5000, M: 392, 7.84%)"
03:41.768,"General Vezax Mark of the Faceless Wunderlol 4123 (U: 5000, M: 877, 17.54%)"
03:41.768,"General Vezax Mark of the Faceless Pestie (A: 4850) (U: 5000, M: 150, 3.00%)"
03:43.198,"General Vezax Mark of the Faceless Wunderlol 4122 (U: 5000, M: 878, 17.56%)"
03:43.198,"General Vezax Mark of the Faceless  Boscaiolo 4850 (U: 5000, M: 150, 3.00%)"
03:43.198,"General Vezax Mark of the Faceless Magìcpìpe 4850 (U: 5000, M: 150, 3.00%)"
03:49.045,General Vezax's Mark of the Faceless  fades from Shindolshot
04:01.745,Padparadcha is afflicted by  Mark of the Faceless  from General Vezax
04:04.525,"General Vezax Mark of the Faceless Apraxial (A: 4656) (U: 5000, M: 344, 6.88%)"
04:04.543,"General Vezax Mark of the Faceless Shambby (A: 4850) (U: 5000, M: 150, 3.00%)"
04:04.543,"General Vezax Mark of the Faceless Droob 4850 (U: 5000, M: 150, 3.00%)"
04:04.543,"General Vezax Mark of the Faceless Ratherbebelf (A: 4850) (U: 5000, M: 150, 3.00%)"
04:04.543,"General Vezax Mark of the Faceless  Dellbelphine (A: 4850) (U: 5000, M: 150, 3.00%)"
04:11.748,General Vezax's Mark of the Faceless  fades from Padparadcha
04:14.152,"General Vezax Mark of the Faceless Apraxial 4656 (U: 5000, M: 344, 6.88%)"
04:24.354,Magìcpìpe is afflicted by  Mark of the Faceless  from General Vezax
04:27.116,"General Vezax Mark of the Faceless Onkos 4850 (U: 5000, M: 150, 3.00%)"
04:27.116,"General Vezax Mark of the Faceless  Boscaiolo 4850 (U: 5000, M: 150, 3.00%)"
04:27.116,"General Vezax Mark of the Faceless Wunderlol 4122 (U: 5000, M: 878, 17.56%)"
04:27.116,"General Vezax Mark of the Faceless Pestie 4850 (U: 5000, M: 150, 3.00%)"
04:27.116,"General Vezax Mark of the Faceless Bezarag 4607 (U: 5000, M: 393, 7.86%)"
04:27.116,"General Vezax Mark of the Faceless Shindolshot 4656 (U: 5000, M: 344, 6.88%)"
04:28.286,"General Vezax Mark of the Faceless Bezarag 4607 (U: 5000, M: 393, 7.86%)"
04:28.286,"General Vezax Mark of the Faceless Pestie 4850 (U: 5000, M: 150, 3.00%)"
04:28.286,"General Vezax Mark of the Faceless Onkos 4850 (U: 5000, M: 150, 3.00%)"
04:28.286,"General Vezax Mark of the Faceless  Boscaiolo 4850 (U: 5000, M: 150, 3.00%)"
04:28.286,"General Vezax Mark of the Faceless Wunderlol 4122 (U: 5000, M: 878, 17.56%)"
04:28.286,"General Vezax Mark of the Faceless Shindolshot 4656 (U: 5000, M: 344, 6.88%)"
04:29.567,"General Vezax Mark of the Faceless Shindolshot 4656 (U: 5000, M: 344, 6.88%)"
04:29.567,"General Vezax Mark of the Faceless Pestie 4850 (U: 5000, M: 150, 3.00%)"
04:34.370,General Vezax's Mark of the Faceless  fades from Magìcpìpe
04:48.626,Wunderlol is afflicted by  Mark of the Faceless  from General Vezax
04:51.582,"General Vezax Mark of the Faceless Shindolshot 4656 (U: 5000, M: 344, 6.88%)"
04:51.582,"General Vezax Mark of the Faceless Bezarag 4607 (U: 5000, M: 393, 7.86%)"
04:51.582,"General Vezax Mark of the Faceless  Boscaiolo 4850 (U: 5000, M: 150, 3.00%)"
04:51.582,"General Vezax Mark of the Faceless Pestie 4850 (U: 5000, M: 150, 3.00%)"
04:51.582,"General Vezax Mark of the Faceless Onkos 4850 (U: 5000, M: 150, 3.00%)"
04:51.582,"General Vezax Mark of the Faceless  Magìcpìpe 4850 (U: 5000, M: 150, 3.00%)"
04:52.758,"General Vezax Mark of the Faceless  Magìcpìpe 4850 (U: 5000, M: 150, 3.00%)"
04:52.758,"General Vezax Mark of the Faceless  Boscaiolo 4850 (U: 5000, M: 150, 3.00%)"
04:58.631,General Vezax's Mark of the Faceless  fades from Wunderlol
05:09.740,Dellbelphine is afflicted by  Mark of the Faceless  from General Vezax
05:12.845,"General Vezax Mark of the Faceless Padparadcha 4850 (U: 5000, M: 150, 3.00%)"
05:12.845,"General Vezax Mark of the Faceless Droob 4850 (U: 5000, M: 150, 3.00%)"
05:12.845,"General Vezax Mark of the Faceless Shambby (A: 4850) (U: 5000, M: 150, 3.00%)"
05:14.125,"General Vezax Mark of the Faceless Shambby 4398 (A: 452) (U: 5000, M: 150, 3.00%)"
05:14.125,"General Vezax Mark of the Faceless Droob 4850 (U: 5000, M: 150, 3.00%)"
05:15.387,"General Vezax Mark of the Faceless Shambby 2137 (O: 2713) (U: 5000, M: 150, 3.00%)"
05:19.752,General Vezax's Mark of the Faceless  fades from  Dellbelphine
05:33.989,Magìcpìpe is afflicted by  Mark of the Faceless  from General Vezax
05:36.822,"General Vezax Mark of the Faceless Shindolshot 4190 (U: 5000, M: 810, 16.20%)"
05:36.822,"General Vezax Mark of the Faceless Wunderlol 4123 (U: 5000, M: 877, 17.54%)"
05:36.839,"General Vezax Mark of the Faceless  Boscaiolo 4365 (U: 5000, M: 635, 12.70%)"
05:36.839,"General Vezax Mark of the Faceless Bezarag 4607 (U: 5000, M: 393, 7.86%)"
05:44.000,General Vezax's Mark of the Faceless  fades from Magìcpìpe
00:16.572,Pestie is afflicted by  Mark of the Faceless  from General Vezax
00:19.388,"General Vezax Mark of the Faceless Bezarag 4607 (U: 5000, M: 393, 7.86%)"
00:19.388,"General Vezax Mark of the Faceless  Boscaiolo 4850 (U: 5000, M: 150, 3.00%)"
00:19.388,"General Vezax Mark of the Faceless Magìcpìpe 4850 (U: 5000, M: 150, 3.00%)"
00:19.388,"General Vezax Mark of the Faceless Onkos 4850 (U: 5000, M: 150, 3.00%)"
00:19.388,"General Vezax Mark of the Faceless Shindolshot 4656 (U: 5000, M: 344, 6.88%)"
00:19.388,"General Vezax Mark of the Faceless Wunderlol 4123 (U: 5000, M: 877, 17.54%)"
00:20.438,"General Vezax Mark of the Faceless Onkos 4850 (U: 5000, M: 150, 3.00%)"
00:20.438,"General Vezax Mark of the Faceless Shindolshot 4656 (U: 5000, M: 344, 6.88%)"
00:20.438,"General Vezax Mark of the Faceless Magìcpìpe 4850 (U: 5000, M: 150, 3.00%)"
00:20.438,"General Vezax Mark of the Faceless  Bezarag 4608 (U: 5000, M: 392, 7.84%)"
00:20.438,"General Vezax Mark of the Faceless Wunderlol 4122 (U: 5000, M: 878, 17.56%)"
00:20.438,"General Vezax Mark of the Faceless  Boscaiolo 4850 (U: 5000, M: 150, 3.00%)"
00:21.542,"General Vezax Mark of the Faceless  Boscaiolo 4850 (U: 5000, M: 150, 3.00%)"
00:21.542,"General Vezax Mark of the Faceless Magìcpìpe 4850 (U: 5000, M: 150, 3.00%)"
00:21.542,"General Vezax Mark of the Faceless Wunderlol 4123 (U: 5000, M: 877, 17.54%)"
00:21.542,"General Vezax Mark of the Faceless Onkos (A: 4850) (U: 5000, M: 150, 3.00%)"
00:26.564,General Vezax's Mark of the Faceless  fades from Pestie
00:37.521,Wunderlol is afflicted by  Mark of the Faceless  from General Vezax
00:40.133,"General Vezax Mark of the Faceless Onkos 4850 (U: 5000, M: 150, 3.00%)"
00:40.133,"General Vezax Mark of the Faceless Shindolshot 4656 (U: 5000, M: 344, 6.88%)"
00:40.133,"General Vezax Mark of the Faceless Bezarag 4608 (U: 5000, M: 392, 7.84%)"
00:40.134,"General Vezax Mark of the Faceless  Boscaiolo 4850 (U: 5000, M: 150, 3.00%)"
00:40.134,"General Vezax Mark of the Faceless Magìcpìpe 4850 (U: 5000, M: 150, 3.00%)"
00:41.324,"General Vezax Mark of the Faceless Shindolshot 4656 (U: 5000, M: 344, 6.88%)"
00:41.324,"General Vezax Mark of the Faceless Bezarag 2113 (A: 2495) (U: 5000, M: 392, 7.84%)"
00:41.324,"General Vezax Mark of the Faceless Magìcpìpe 4850 (U: 5000, M: 150, 3.00%)"
00:41.324,"General Vezax Mark of the Faceless Onkos 4850 (U: 5000, M: 150, 3.00%)"
00:41.324,"General Vezax Mark of the Faceless  Boscaiolo 4850 (U: 5000, M: 150, 3.00%)"
00:42.664,"General Vezax Mark of the Faceless Magìcpìpe 4850 (U: 5000, M: 150, 3.00%)"
00:42.665,"General Vezax Mark of the Faceless  Boscaiolo 2409 (A: 2441) (U: 5000, M: 150, 3.00%)"
00:42.665,"General Vezax Mark of the Faceless Shindolshot 4656 (U: 5000, M: 344, 6.88%)"
00:47.527,General Vezax's Mark of the Faceless  fades from Wunderlol
00:58.562,Shambby is afflicted by  Mark of the Faceless  from General Vezax
01:01.157,"General Vezax Mark of the Faceless Padparadcha 4850 (U: 5000, M: 150, 3.00%)"
01:01.157,"General Vezax Mark of the Faceless Ratherbebelf 4850 (U: 5000, M: 150, 3.00%)"
01:01.157,"General Vezax Mark of the Faceless Dellbelphine 4850 (U: 5000, M: 150, 3.00%)"
01:02.424,"General Vezax Mark of the Faceless Dellbelphine 4850 (U: 5000, M: 150, 3.00%)"
01:02.424,"General Vezax Mark of the Faceless Ratherbebelf 4850 (U: 5000, M: 150, 3.00%)"
01:02.424,"General Vezax Mark of the Faceless Apraxial (A: 4656) (U: 5000, M: 344, 6.88%)"
01:02.566,"General Vezax Mark of the Faceless Padparadcha 4850 (U: 5000, M: 150, 3.00%)"
01:03.606,"General Vezax Mark of the Faceless Apraxial 1734 (A: 2922) (U: 5000, M: 344, 6.88%)"
01:08.559,General Vezax's Mark of the Faceless  fades from Shambby
01:24.472,Shambby is afflicted by  Mark of the Faceless  from General Vezax
01:27.237,"General Vezax Mark of the Faceless Ratherbebelf (A: 4850) (U: 5000, M: 150, 3.00%)"
01:27.237,"General Vezax Mark of the Faceless Padparadcha (A: 4850) (U: 5000, M: 150, 3.00%)"
01:27.237,"General Vezax Mark of the Faceless  Dellbelphine (A: 4850) (U: 5000, M: 150, 3.00%)"
01:27.237,"General Vezax Mark of the Faceless Apraxial 4656 (U: 5000, M: 344, 6.88%)"
01:28.461,"General Vezax Mark of the Faceless Apraxial 4656 (U: 5000, M: 344, 6.88%)"
01:28.461,"General Vezax Mark of the Faceless Ratherbebelf 2236 (A: 2614) (U: 5000, M: 150, 3.00%)"
01:34.479,General Vezax's Mark of the Faceless  fades from Shambby
01:45.493,Apraxial is afflicted by  Mark of the Faceless  from General Vezax
01:48.090,"General Vezax Mark of the Faceless Ratherbebelf 4850 (U: 5000, M: 150, 3.00%)"
01:48.090,"General Vezax Mark of the Faceless  Padparadcha 4850 (U: 5000, M: 150, 3.00%)"
01:48.090,"General Vezax Mark of the Faceless Shambby 4850 (U: 5000, M: 150, 3.00%)"
01:48.090,"General Vezax Mark of the Faceless  Dellbelphine 4850 (U: 5000, M: 150, 3.00%)"
01:49.075,"General Vezax Mark of the Faceless Ratherbebelf 4850 (U: 5000, M: 150, 3.00%)"
01:49.075,"General Vezax Mark of the Faceless  Padparadcha 4850 (U: 5000, M: 150, 3.00%)"
01:49.075,"General Vezax Mark of the Faceless  Dellbelphine 4850 (U: 5000, M: 150, 3.00%)"
01:49.075,"General Vezax Mark of the Faceless Shambby 4850 (U: 5000, M: 150, 3.00%)"
01:55.513,General Vezax's Mark of the Faceless  fades from Apraxial
02:06.478,Pestie is afflicted by  Mark of the Faceless  from General Vezax
02:09.164,"General Vezax Mark of the Faceless Magìcpìpe 4850 (U: 5000, M: 150, 3.00%)"
02:09.164,"General Vezax Mark of the Faceless Bezarag (A: 4607) (U: 5000, M: 393, 7.86%)"
02:09.164,"General Vezax Mark of the Faceless  Boscaiolo (A: 4850) (U: 5000, M: 150, 3.00%)"
02:09.164,"General Vezax Mark of the Faceless Onkos 4850 (U: 5000, M: 150, 3.00%)"
02:12.660,General Vezax's Mark of the Faceless  fades from  Pestie
02:29.302,Wunderlol is afflicted by  Mark of the Faceless  from General Vezax
02:32.167,"General Vezax Mark of the Faceless Pestie (A: 4850) (U: 5000, M: 150, 3.00%)"
02:32.167,"General Vezax Mark of the Faceless  Boscaiolo 2180 (A: 2670) (U: 5000, M: 150, 3.00%)"
02:32.167,"General Vezax Mark of the Faceless Shindolshot 4656 (U: 5000, M: 344, 6.88%)"
02:32.167,"General Vezax Mark of the Faceless Bezarag 1603 (A: 3004) (U: 5000, M: 393, 7.86%)"
02:32.167,"General Vezax Mark of the Faceless Onkos (A: 4850) (U: 5000, M: 150, 3.00%)"
02:32.167,"General Vezax Mark of the Faceless Magìcpìpe 4850 (U: 5000, M: 150, 3.00%)"
02:33.427,"General Vezax Mark of the Faceless Magìcpìpe 4850 (U: 5000, M: 150, 3.00%)"
02:33.427,"General Vezax Mark of the Faceless Shindolshot 4656 (U: 5000, M: 344, 6.88%)"
02:33.427,"General Vezax Mark of the Faceless Onkos 2059 (A: 2791) (U: 5000, M: 150, 3.00%)"
02:33.427,"General Vezax Mark of the Faceless  Boscaiolo (A: 4850) (U: 5000, M: 150, 3.00%)"
02:33.427,"General Vezax Mark of the Faceless Pestie 4850 (U: 5000, M: 150, 3.00%)"
02:39.317,General Vezax's Mark of the Faceless  fades from Wunderlol
02:51.941,Wunderlol is afflicted by  Mark of the Faceless  from General Vezax
02:54.827,"General Vezax Mark of the Faceless Shindolshot (A: 4656) (U: 5000, M: 344, 6.88%)"
02:54.827,"General Vezax Mark of the Faceless Onkos (A: 4850) (U: 5000, M: 150, 3.00%)"
02:54.827,"General Vezax Mark of the Faceless Magìcpìpe (A: 4850) (U: 5000, M: 150, 3.00%)"
02:54.827,"General Vezax Mark of the Faceless Bezarag 4608 (U: 5000, M: 392, 7.84%)"
02:54.827,"General Vezax Mark of the Faceless Pestie (A: 4850) (U: 5000, M: 150, 3.00%)"
02:54.827,"General Vezax Mark of the Faceless  Boscaiolo 2146 (A: 2704) (U: 5000, M: 150, 3.00%)"
02:56.093,"General Vezax Mark of the Faceless Onkos 2200 (A: 2650) (U: 5000, M: 150, 3.00%)"
02:56.093,"General Vezax Mark of the Faceless Pestie 2230 (A: 2620) (U: 5000, M: 150, 3.00%)"
02:56.093,"General Vezax Mark of the Faceless Magìcpìpe 2291 (A: 2559) (U: 5000, M: 150, 3.00%)"
02:57.377,"General Vezax Mark of the Faceless Magìcpìpe 4850 (U: 5000, M: 150, 3.00%)"
03:01.943,General Vezax's Mark of the Faceless  fades from Wunderlol
03:19.353,Ratherbebelf is afflicted by  Mark of the Faceless  from General Vezax
03:21.847,"General Vezax Mark of the Faceless Padparadcha 4850 (U: 5000, M: 150, 3.00%)"
03:21.847,"General Vezax Mark of the Faceless Shambby (A: 4850) (U: 5000, M: 150, 3.00%)"
03:21.847,"General Vezax Mark of the Faceless  Dellbelphine (A: 4850) (U: 5000, M: 150, 3.00%)"
03:21.847,"General Vezax Mark of the Faceless Apraxial 4656 (U: 5000, M: 344, 6.88%)"
03:23.209,"General Vezax Mark of the Faceless Apraxial 4656 (U: 5000, M: 344, 6.88%)"
03:23.209,"General Vezax Mark of the Faceless  Dellbelphine 2151 (A: 2699) (U: 5000, M: 150, 3.00%)"
03:23.209,"General Vezax Mark of the Faceless Shambby 2096 (A: 2754) (U: 5000, M: 150, 3.00%)"
03:29.359,General Vezax's Mark of the Faceless  fades from Ratherbebelf
03:40.453,Wunderlol is afflicted by  Mark of the Faceless  from General Vezax
03:43.017,"General Vezax Mark of the Faceless Shindolshot 4656 (U: 5000, M: 344, 6.88%)"
03:43.017,"General Vezax Mark of the Faceless Magìcpìpe (A: 4850) (U: 5000, M: 150, 3.00%)"
03:43.017,"General Vezax Mark of the Faceless Onkos 4850 (U: 5000, M: 150, 3.00%)"
03:43.017,"General Vezax Mark of the Faceless  Boscaiolo (A: 4850) (U: 5000, M: 150, 3.00%)"
03:43.017,"General Vezax Mark of the Faceless Pestie (A: 4850) (U: 5000, M: 150, 3.00%)"
03:43.017,"General Vezax Mark of the Faceless Bezarag 4607 (U: 5000, M: 393, 7.86%)"
03:44.260,"General Vezax Mark of the Faceless Pestie 2344 (A: 2506) (U: 5000, M: 150, 3.00%)"
03:44.260,"General Vezax Mark of the Faceless Shindolshot 4656 (U: 5000, M: 344, 6.88%)"
03:44.260,"General Vezax Mark of the Faceless Onkos 4850 (U: 5000, M: 150, 3.00%)"
03:44.260,"General Vezax Mark of the Faceless  Boscaiolo 2242 (A: 2608) (U: 5000, M: 150, 3.00%)"
03:44.260,"General Vezax Mark of the Faceless Magìcpìpe 2182 (A: 2668) (U: 5000, M: 150, 3.00%)"
03:44.260,"General Vezax Mark of the Faceless Bezarag 4608 (U: 5000, M: 392, 7.84%)"
03:50.457,General Vezax's Mark of the Faceless  fades from Wunderlol
04:01.598,Padparadcha is afflicted by  Mark of the Faceless  from General Vezax
04:04.322,"General Vezax Mark of the Faceless Ratherbebelf (A: 4850) (U: 5000, M: 150, 3.00%)"
04:04.322,"General Vezax Mark of the Faceless  Dellbelphine (A: 4850) (U: 5000, M: 150, 3.00%)"
04:04.322,"General Vezax Mark of the Faceless Apraxial 4656 (U: 5000, M: 344, 6.88%)"
04:04.322,"General Vezax Mark of the Faceless Shambby (A: 4850) (U: 5000, M: 150, 3.00%)"
04:04.322,"General Vezax Mark of the Faceless Bezarag (A: 4608) (U: 5000, M: 392, 7.84%)"
04:05.855,"General Vezax Mark of the Faceless Shindolshot (A: 4656) (U: 5000, M: 344, 6.88%)"
04:11.594,General Vezax's Mark of the Faceless  fades from Padparadcha
04:22.566,Magìcpìpe is afflicted by  Mark of the Faceless  from General Vezax
04:25.133,"General Vezax Mark of the Faceless Boscaiolo 4850 (U: 5000, M: 150, 3.00%)"
04:25.133,"General Vezax Mark of the Faceless Onkos 4850 (U: 5000, M: 150, 3.00%)"
04:25.133,"General Vezax Mark of the Faceless Wunderlol 4122 (U: 5000, M: 878, 17.56%)"
04:25.133,"General Vezax Mark of the Faceless Pestie 4850 (U: 5000, M: 150, 3.00%)"
04:25.133,"General Vezax Mark of the Faceless Bezarag (A: 4607) (U: 5000, M: 393, 7.86%)"
04:25.133,"General Vezax Mark of the Faceless  Shindolshot 4656 (U: 5000, M: 344, 6.88%)"
04:26.263,"General Vezax Mark of the Faceless Onkos 4850 (U: 5000, M: 150, 3.00%)"
04:26.263,"General Vezax Mark of the Faceless Pestie 4850 (U: 5000, M: 150, 3.00%)"
04:26.263,"General Vezax Mark of the Faceless Wunderlol 4122 (U: 5000, M: 878, 17.56%)"
04:26.263,"General Vezax Mark of the Faceless Bezarag 4343 (A: 264) (U: 5000, M: 393, 7.86%)"
04:26.263,"General Vezax Mark of the Faceless Boscaiolo (A: 4850) (U: 5000, M: 150, 3.00%)"
04:32.559,General Vezax's Mark of the Faceless  fades from Magìcpìpe
04:33.168,"General Vezax Mark of the Faceless Boscaiolo 4850 (U: 5000, M: 150, 3.00%)"
04:43.762,Apraxial is afflicted by  Mark of the Faceless  from General Vezax
04:46.731,"General Vezax Mark of the Faceless Dellbelphine 4850 (U: 5000, M: 150, 3.00%)"
04:46.731,"General Vezax Mark of the Faceless  Shambby 4850 (U: 5000, M: 150, 3.00%)"
04:46.731,"General Vezax Mark of the Faceless Padparadcha 4850 (U: 5000, M: 150, 3.00%)"
04:53.776,General Vezax's Mark of the Faceless  fades from Apraxial
05:04.874,Bezarag is afflicted by  Mark of the Faceless  from General Vezax
05:07.831,"General Vezax Mark of the Faceless Wunderlol 4122 (U: 5000, M: 878, 17.56%)"
05:07.831,"General Vezax Mark of the Faceless Shambby 4850 (U: 5000, M: 150, 3.00%)"
05:07.831,"General Vezax Mark of the Faceless Magìcpìpe 4850 (U: 5000, M: 150, 3.00%)"
05:07.831,"General Vezax Mark of the Faceless Shindolshot 4656 (U: 5000, M: 344, 6.88%)"
05:07.831,"General Vezax Mark of the Faceless Dellbelphine 4850 (U: 5000, M: 150, 3.00%)"
05:07.831,"General Vezax Mark of the Faceless Ratherbebelf 4850 (U: 5000, M: 150, 3.00%)"
05:08.844,"General Vezax Mark of the Faceless Shindolshot 4656 (U: 5000, M: 344, 6.88%)"
05:10.096,"General Vezax Mark of the Faceless Shindolshot 4656 (U: 5000, M: 344, 6.88%)"
05:14.880,General Vezax's Mark of the Faceless  fades from Bezarag
05:27.511,Wunderlol is afflicted by  Mark of the Faceless  from General Vezax
05:30.655,"General Vezax Mark of the Faceless Dellbelphine (A: 4850) (U: 5000, M: 150, 3.00%)"
05:30.655,"General Vezax Mark of the Faceless Bezarag 4608 (U: 5000, M: 392, 7.84%)"
05:30.655,"General Vezax Mark of the Faceless Magìcpìpe 4850 (U: 5000, M: 150, 3.00%)"
05:30.655,"General Vezax Mark of the Faceless Shambby 3790 (O: 1060) (U: 5000, M: 150, 3.00%)"
05:30.655,"General Vezax Mark of the Faceless  Ratherbebelf 4850 (U: 5000, M: 150, 3.00%)"
05:30.655,"General Vezax Mark of the Faceless Shindolshot 4656 (U: 5000, M: 344, 6.88%)"
05:30.655,"General Vezax Mark of the Faceless Pestie 4850 (U: 5000, M: 150, 3.00%)"
05:30.655,"General Vezax Mark of the Faceless Padparadcha 4850 (U: 5000, M: 150, 3.00%)"
05:31.941,"General Vezax Mark of the Faceless Padparadcha 4850 (U: 5000, M: 150, 3.00%)"
